Name,Type,Status,Score,Author,Completed,Link,Chapter,Website
"After Taken as a Prisoner of War, the Vampire Queen Turned Me Into a Vampire and Made Me Her Daughter",Book,In progress,⭐️⭐️⭐️⭐️,Han Tang Return,,https://www.novelupdates.com/series/after-taken-as-a-prisoner-of-war-the-vampire-queen-turned-me-into-a-vampire-and-made-me-her-daughter/,122,Novelupdates
Vicious Female Married Me With A Smile,Book,Not started,TBD,Ezra Klein & Joe Posner,,https://www.novelupdates.com/series/vicious-female-married-me-with-a-smile/,,Novelupdates
"I Became a Beautiful Girl, but I’m still an MMO Junkie",Book,Not started,TBD,Hoshikuzu Ponpon & 星屑ぽんぽん,,https://www.novelupdates.com/series/i-became-a-beautiful-girl-but-im-still-an-mmo-junkie/,,Novelupdates
Starchild Escapes Arranged Marriage,Book,Not started,TBD,Fat Bread & 肥面包,,https://www.novelupdates.com/series/starchild-escapes-arranged-marriage/,,Novelupdates
"Rose Princess of Hellrage: Although I got Killed for Political Reasons, I got Revived as the Strongest Undead",Book,Not started,TBD,"Kirisaki Suzume, Passeri, パッセリ, & 霧崎雀",,https://www.novelupdates.com/series/rose-princess-of-hellrage-although-i-got-killed-for-political-reasons-i-got-revived-as-the-strongest-undead/,,Novelupdates
Reborn as the Hero’s Daughter! Time to Become the Hero Once More!,Book,In progress,TBD,Kaburagi Haruka & 鏑木ハルカ,,https://www.novelupdates.com/series/reborn-as-the-heros-daughter-time-to-become-the-hero-once-more-wn/,580,Novelupdates
Two as One Princesses,Book,In progress,TBD,Seto & 瀬戸,,https://www.novelupdates.com/series/two-as-one-princesses/,110,Novelupdates
https://www.novelupdates.com/series/the-creator-god-was-enslaved-by-her-yandere-sister/,Book,Not started,TBD,Kobayashi Takashi & 小林誉,,https://www.novelupdates.com/series/heros-redo-a-hero-that-once-saved-the-world-reborn-as-a-girl/,,Novelupdates
The Creator God Was Enslaved by Her Yandere Sister,Book,In progress,TBD,Lil Blade & 咱是小刃刃的说,,https://www.novelupdates.com/series/the-creator-god-was-enslaved-by-her-yandere-sister/,56,Novelupdates
A Probability Experiment Turned Me Into A Clockwork Girl And I Really Don't Know What To Make Of It All,Book,In progress,TBD,nothingspecial,,https://www.scribblehub.com/series/263522/a-probability-experiment-turned-me-into-a-clockwork-girl-and-i-really-dont-know-what-to-make-of-it-all/,2.3,Scribblehub
I’m in a Monster Girl World (MGW),Book,Not started,TBD,TheMangaGod,,https://www.scribblehub.com/series/180043/im-in-a-monster-girl-world-mgw/,,Scribblehub
